#rank #name #perc #votes
216 slmplex.eth 0.000003 3
217 bih.ethster.eth 0.000003 3
218 null 0.000056 56
219 huangruihan.eth 0.000056 56
220 null 0.000056 56
221 bscbnb.eth 0.000002 2
222 null 0 0
223 chao77.eth 0.000025 25
224 ppyaa.eth 0.000003 3
225 520eth.eth 0.000005 5
226 nfttt.eth 0.000216 216
227 dogekingdao.eth 0.000046 46
228 null 0.000001 1
229 0xdot.eth 0.000051 51
230 huangganglan.eth 0.000056 56
231 huangjiaen.eth 0.000056 56
232 capxon.eth 0.000003 3
233 uni01.eth 0.00002 20
234 qqlmx16889.eth 0.000123 123
235 bian.eth 0.0001 100
236 p1anck.eth 0.161859 161859
237 null 0.015171 15171
238 fateswing.eth 0.000025 25
239 universemoney.eth 0.000003 3
240 null 0.000004 4
241 null 0.000011 11
242 biiibiii.eth 0.000001 1
243 falali.eth 0.000003 3
244 cryptovn.eth 0.00001 10
245 null 0.000002 2
246 null 0.000001 1
247 ntnsndr.eth 0.017057 17057
248 13335.eth 0.000052 52
249 nearcoin.eth 0.00002 20
250 0x00eth.eth 0.000004 4
